time,encoder_1,encoder_2
1764352703.907559,135.289997,117.0699974
1764352704.1116722,132.639997,114.6699974
1764352704.31673,130.1199971,109.1099976
1764352704.523372,126.4599972,106.1099976
1764352704.7302241,125.9199972,103.2699977
1764352704.937212,124.3699972,96.23999785
1764352705.144341,122.9599973,93.8199979
1764352705.351285,120.9299973,91.80999795
1764352705.557684,120.2699973,90.26999798
1764352705.759685,120.0899973,90.63999797
1764352705.966003,117.1899974,92.38999793
1764352706.172054,113.4299975,105.2799976
1764352706.37769,119.3799973,119.9299973
1764352706.5844932,135.069997,135.529997
1764352706.788757,154.1699966,147.5199967
1764352706.991879,167.5899963,151.6099966
1764352707.1981099,173.1099961,147.1599967
1764352707.404634,174.7099961,136.9199969
1764352707.611239,172.7399961,124.3399972
1764352707.815076,165.6499963,110.8499975
1764352708.020611,154.5399965,98.65999779
1764352708.2252932,143.9199968,91.40999796
1764352708.428672,134.719997,88.25999803
1764352708.635047,128.7199971,88.89999801
1764352708.8390882,123.8799972,91.74999795
1764352709.041758,121.5499973,93.8299979
1764352709.2443142,120.2199973,98.79999779
1764352709.4480782,121.4299973,110.7099975
1764352709.654593,131.1999971,123.6999972
1764352709.860353,152.7799966,137.8199969
1764352710.066875,166.8699963,134.109997
1764352710.271615,161.3199964,113.2699975
1764352710.473519,146.3599967,101.2999977
1764352710.677665,137.5499969,104.8299977
1764352710.884337,140.0499969,118.0299974
1764352711.0887492,151.5599966,127.1399972
1764352711.295561,157.9499965,123.9299972
1764352711.500017,155.1199965,115.9599974
1764352711.7046342,149.0199967,110.7399975
1764352711.911232,146.7799967,112.3199975
1764352712.1129541,148.2699967,117.0199974
1764352712.3189251,150.8599966,118.0599974
1764352712.5223,149.6599967,117.6699974
1764352712.729076,141.6899968,111.3099975
1764352712.934867,124.7099972,96.47999784
1764352713.139182,95.23999787,79.19999823
1764352713.345839,75.17999832,66.23999852
1764352713.549952,67.1099985,60.39999865
1764352713.754739,63.79999857,58.85999868
1764352713.962364,59.54999867,56.36999874
1764352714.166794,58.54999869,53.91999879
1764352714.3733199,58.55999869,54.07999879
1764352714.5797482,58.3199987,53.93999879
1764352714.785392,58.3199987,53.93999879
1764352714.988985,58.3199987,53.93999879
1764352715.19225,58.3099987,53.92999879
1764352715.398574,58.3099987,53.92999879
1764352715.60516,58.3099987,53.92999879
1764352715.811506,58.3099987,53.92999879
1764352716.016994,58.3099987,53.92999879
